,AI_Optimized
2023-08-22,348.97670070486004
2023-08-23,360.0417319521897
2023-08-24,360.4008814726823
2023-08-25,351.6512897799485
2023-08-28,357.89441859235694
2023-08-29,372.78790847387245
2023-08-30,376.455883013057
2023-08-31,377.1512557547562
2023-09-01,370.68647688093114
2023-09-05,370.98451877164774
2023-09-06,359.6510514780992
2023-09-07,353.38444216833057
2023-09-08,348.2717899226183
2023-09-11,345.26074427976556
2023-09-12,342.9069192164416
2023-09-13,347.60692724332756
2023-09-14,348.3405979887957
2023-09-15,335.4939657740588
2023-09-18,335.9983443583484
2023-09-19,332.58993869619326
2023-09-20,322.8002338912006
2023-09-21,313.4614421404834
2023-09-22,317.9932656359668
2023-09-25,322.67034736356686
2023-09-26,320.293596000957
2023-09-27,324.55027473669
2023-09-28,329.29610619382805
2023-09-29,332.42945460119194
2023-10-02,342.2344144373888
2023-10-03,332.56698322858756
2023-10-04,336.5715601771349
2023-10-05,341.51605705976425
2023-10-06,349.72378887739114
2023-10-09,345.9867437571519
2023-10-10,349.99893363714153
2023-10-11,357.70228687047893
2023-10-12,358.7645387373918
2023-10-13,347.42345851240094
2023-10-16,352.2686956030839
2023-10-17,335.784394733333
2023-10-18,322.4715944331163
2023-10-19,321.7456241240495
2023-10-20,316.2890482207292
2023-10-23,328.4249359892839
2023-10-24,333.68275896215374
2023-10-25,319.28480966405806
2023-10-26,308.1806637000078
2023-10-27,309.51041822690905
2023-10-30,314.5619045062059
2023-10-31,311.65023532857833
2023-11-01,323.45751280736863
2023-11-02,332.4828909628862
2023-11-03,343.93863185262614
2023-11-06,349.63975494832926
2023-11-07,351.1987724680894
2023-11-08,355.9292905573838
2023-11-09,358.80277840452123
2023-11-10,369.38726158475805
2023-11-13,371.5652600169175
2023-11-14,379.4826503802292
2023-11-15,373.61337192144316
2023-11-16,378.1376408221237
2023-11-17,376.7467494971268
2023-11-20,385.2372390059464
2023-11-21,381.68360427999426
2023-11-22,372.2989307623856
2023-11-24,365.1152403128617
2023-11-27,368.67651713857583
2023-11-28,365.45913480215006
2023-11-29,367.89702296285566
2023-11-30,357.42720044736797
2023-12-01,357.38896078023845
2023-12-04,347.7979505690568
2023-12-05,355.8994221980088
2023-12-06,347.7750242697709
2023-12-07,356.1287435275071
2023-12-08,363.0837835188858
2023-12-11,356.3656777884476
2023-12-12,364.237857256221
2023-12-13,367.5319814417831
2023-12-14,369.5343574210159
2023-12-15,373.6614996489517
2023-12-18,382.7336637892715
2023-12-19,379.1185422453872
2023-12-20,367.7076913996688
2023-12-21,374.42585546674644
2023-12-22,373.2029736632339
2023-12-26,376.6345973078719
2023-12-27,377.68935291662126
2023-12-28,378.49186089658645
2023-12-29,378.49186089658645
2024-01-02,368.14337859105973
2024-01-03,363.56526497220904
2024-01-04,366.8441049582472
2024-01-05,375.2435893095961
2024-01-08,399.36459380216496
2024-01-09,406.14386549901855
2024-01-10,415.39179793386353
2024-01-11,418.9991898730267
2024-01-12,418.1431871947278
2024-01-16,430.9221489077557
2024-01-17,428.40763557119254
2024-01-18,436.4632254332531
2024-01-19,454.6839163748729
2024-01-22,455.92975364599107
2024-01-23,457.60354850377917
2024-01-24,468.9837726138103
2024-01-25,470.9327122313488
2024-01-26,466.4539750777233
2024-01-29,477.41388370084644
2024-01-30,479.7755258738506
2024-01-31,470.24486491613277
2024-02-01,481.7092104601848
2024-02-02,505.65444665822855
2024-02-05,529.8976955786692
2024-02-06,521.4217318930613
2024-02-07,535.7597111258494
2024-02-08,532.259279415034
2024-02-09,551.3055504775034
2024-02-12,552.1843919501292
2024-02-13,551.2672816420543
2024-02-14,564.8104824995982
2024-02-15,555.3179445357309
2024-02-16,554.9739917098032
2024-02-20,530.8148642233836
2024-02-21,515.6819316054332
2024-02-22,600.2581580672249
2024-02-23,602.3905372473702
2024-02-26,604.4924647017464
2024-02-27,601.5039370017037
2024-02-28,593.5707374091133
2024-02-29,604.6451900237067
2024-03-01,628.8502284453375
2024-03-04,651.4580096800786
2024-03-05,657.0452013190251
2024-03-06,677.9571364462832
2024-03-07,708.2931806593873
2024-03-08,668.9993121191958
2024-03-11,655.5930856909731
2024-03-12,702.5149365263917
2024-03-13,694.6805592009523
2024-03-14,672.1788339766482
2024-03-15,671.3609542922
2024-03-18,676.0845886580447
2024-03-19,683.2921971297244
2024-03-20,690.736710694025
2024-03-21,698.8614294737796
2024-03-22,720.6753073828676
2024-03-25,726.1249412260987
2024-03-26,707.4677172118165
2024-03-27,689.8041411765078
2024-03-28,690.614378761194
2024-04-01,690.6678734595276
2024-04-02,683.7048705168702
2024-04-03,679.9750008032777
2024-04-04,656.5942007597903
2024-04-05,672.6680450346926
2024-04-08,665.9801576834658
2024-04-09,652.3827037512759
2024-04-10,665.2616836325626
2024-04-11,692.6016163825014
2024-04-12,674.0285721388797
2024-04-15,657.328017346857
2024-04-16,668.1355798361758
2024-04-17,642.3013157492618
2024-04-18,647.1624495741825
2024-04-19,582.4164802718145
2024-04-22,607.7767591635686
2024-04-23,629.9803841605168
2024-04-24,608.9920863722783
2024-04-25,631.577874693964
2024-04-26,670.5814017798402
2024-04-29,670.7495863112429
2024-04-30,660.3930243811586
2024-05-01,634.7039018530825
2024-05-02,655.921637644098
2024-05-03,678.6373999983765
2024-05-06,704.2499265189148
2024-05-07,692.1276895239807
2024-05-08,691.0424530211426
2024-05-09,678.3164318083741
2024-05-10,686.960930045221
2024-05-13,690.9430473875977
2024-05-14,698.2576452559448
2024-05-15,723.2816134215332
2024-05-16,721.2103127028442
2024-05-17,706.8409483580567
2024-05-20,724.4282200690246
2024-05-21,729.0599742278076
2024-05-22,725.7275520384766
2024-05-23,793.3628184172605
2024-05-24,813.7702582869505
2024-05-28,870.5749192038509
2024-05-29,877.6372111067745
2024-05-30,844.5801126852964
2024-05-31,837.9534788054441
